price,area_sqft,location,bhk,is_resale,amenity_gym,lift,parking,amenity_maintenance,amenity_security,amenity_kids_play,amenity_clubhouse,amenity_intercom,amenity_gardens,amenity_indoor_games,amenity_gas,amenity_jogging,amenity_pool,price_per_sqft,amenity_count
12100000,1150,dahisar,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1,10521.739130434782,6
11000000,1054,kandivali,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1,10436.432637571157,7
27000000,1695,goregaon,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1,15929.20353982301,8
21600000,1579,goregaon,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1,13679.544015199494,8
30200000,2153,goregaon,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1,14026.939154667905,9
41200000,1872,goregaon,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1,22008.547008547008,8
30500000,1717,goregaon,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,17763.54105998835,8
36700000,1675,goregaon_east,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,21910.44776119403,9
23800000,1672,malad_east,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14234.44976076555,10
20500000,1457,malad_east,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,14070.006863417982,4
5500000,425,bhandup_west,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12941.176470588236,0
9000000,560,thakur_village_kandivali_east,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16071.42857142857,0
32500000,1200,santacruz_west,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27083.333333333332,0
8500000,575,kanjurmarg,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,14782.608695652174,6
